name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
수리 갠트리,repair_gantry,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.campaign.RepairGantry,"버려진 기지, 난파선, 표류 선체 등을 구난할 때 획득하는 자원을 %s/%s/%s/%s 증가시킵니다.",구난 작업에서 획득 자원 증가.,,graphics/hullmods/repair_gantry.png
위상 필드,phasefield,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.PhaseField,함선이 장기간 저출력 위상 필드를 유지하여 실질 센서 프로파일을 %s 감소시킵니다.,함대 전체 센서 프로파일 감소.,,graphics/hullmods/phase_field.png
Flux Shunt,fluxshunt,,,,,,,,TRUE,,0,0,0,0,data.hullmods.FluxShunt,Allows the ship to dissipate hard flux at %s of the normal rate while shields are on.,Allows dissipation of hard flux while shields are up.,,graphics/hullmods/flux_shunt.png
민간 등급 선체,civgrade,,,,,,,,TRUE,,0,0,0,0,data.hullmods.CivGrade,센서 프로파일을 %s 증가시킵니다. 센서 강도를 %s 감소시킵니다.,"센서 프로파일 증가, 센서 강도 감소.",,graphics/hullmods/civilian_grade.png
높은 유지비,high_maintenance,,,,,,,,TRUE,,0,0,0,0,data.hullmods.HighMaintenance,월간 유지 물자 비용을 %s 증가시킵니다.,유지 비용 증가.,,graphics/hullmods/high_maintenance.png
에너지 볼트 집속기,coherer,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.EnergyBoltCoherer,<스크립트에서 생성되는 툴팁>,비빔 에너지 무기의 기본 사거리 증가.,,graphics/hullmods/coherer.png
설계 타협,design_compromises,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.DesignCompromises,경쟁하는 설계 우선순위로 인해 함선 성능이 저하되어 있습니다.,미사일·탄도 무기 사거리와 플럭스 방출/용량 감소.,,graphics/hullmods/design_compromises.png
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Monofilament Tow Cable,tow_cable,,,,hide_in_codex,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.campaign.TowCable,"Improves the maximum burn level of the slowest ship in the fleet by 1. Multiple tugs can not be used to speed up the same ship by more than 1.

Can not be used in combat.",Increases burn level of another ship.,,graphics/hullmods/monofilament_cable.png
Drive Field Stabilizer,drive_field_stabilizer,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.DriveFieldStabilizer,"Stabilizes the fleet's drive bubble, increasing the maximum burn of the fleet by %s. The effect of multiple stabilizers is cumulative.

Increases the ship's sensor profile by %s.",Reduces fleetwide fuel use.,,graphics/hullmods/augmented_drive_field.png
Ground Support Package,ground_support,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.GroundSupport,"Close support weapons and counter-measures for ground defenses. Increases the effective strength of planetary raids by %s, up to the total number of marines in the fleet.",Improves effectiveness of raids.,,graphics/hullmods/ground_support.png
Advanced Ground Support,advanced_ground_support,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.AdvancedGroundSupport,"Close support weapons and counter-measures for ground defenses. Increases the effective strength of planetary raids by %s, up to the total number of marines in the fleet.",Improves effectiveness of raids.,,graphics/hullmods/ground_support_adv.png
Delicate Machinery,delicate,,,,,,,,TRUE,,0,0,0,0,data.hullmods.DelicateMachinery,"The ship systems require excessive maintenance and do not stand up well under the rigours of prolonged engagements.

Increases the rate of in-combat CR decay after peak performance time runs out by %s.",Increases CR decay rate after peak time runs out.,,graphics/hullmods/delicate_machinery.png
중형 탄도 통합,hbi,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.HeavyBallisticsIntegration,대형 탄도 무기의 무장 포인트 비용을 %s 감소시킵니다.,대형 탄도 무기의 무장 포인트 비용 감소.,,graphics/hullmods/ballistics_integration.png
대형 격납고,vast_hangar,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.VastHangar,"함선에 대형 격납고와 지원 소함대가 있습니다.

개조 격납고가 추가하는 전투기 격납고 수가 증가하고, 최고 속도 패널티가 제거됩니다.",개조 격납고의 효과 증가 및 패널티 제거.,,graphics/hullmods/vast_hangar.png
견고한 구조,rugged,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.RuggedConstruction,"대부분의 D-모드 부정적 효과를 %s 감소시킵니다. 전투 중 비활성화되거나 파괴될 경우, 새 D-모드를 피할 확률이 %s입니다.",D-모드 영향 감소; 손실 시 거의 항상 회수 가능.,,graphics/hullmods/rugged_construction.png
자동화 함선,automated,,,,codex_require_related,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.Automated,"이 함선은 완전 자동화되어 있으며, 인간 승무원이 필요 없고 탑승시킬 수도 없습니다.","승무원 불필요, 지원 불가.",,graphics/hullmods/automated.png
고급 조준 코어,advancedcore,,,,,,,,TRUE,,0,0,0,0,data.hullmods.AdvancedTargetingCore,탄도 및 에너지 무기의 사거리를 %s 연장합니다. 점방어 무기의 사거리는 %s만 연장됩니다.,비미사일 무기 사거리 대폭 연장.,,graphics/hullmods/advanced_targeting_core.png
조준 슈퍼컴퓨터,supercomputer,,,,,,,,TRUE,,0,0,0,0,data.hullmods.TargetingSupercomputer,탄도 및 에너지 무기의 사거리를 %s 연장합니다. 점방어 무기의 사거리는 %s만 연장됩니다.,비미사일 무기 사거리 대폭 연장.,,graphics/hullmods/targeting_supercomputer.png
Experimental Phase Coils,ex_phase_coils,,,,codex_require_related,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.ExperimentalPhaseCoils,Reduces phase cloak cooldown by %s.,Greatly reduces phase cloak cooldown.,,graphics/hullmods/phase_coils_experimental.png
High Volition Attractor,high_frequency_attractor,,,,codex_require_related,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.combat.BaseHullMod,An experimental modification allowing high-frequency motes to be warped in by the rift core on board the ship.,Launches more powerful high-frequency motes.,,graphics/hullmods/high_volition_attractor.png
박리 장갑,ablative_armor,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.AblativeArmor,내부 구성 요소를 보호하기 위한 재료의 순수 부피에 의존하는 고대 설계입니다. 장갑 기반 피해 감소 효과가 크게 감소합니다.,장갑의 피해 감소 효과 감소.,,graphics/hullmods/ablative_armor.png
분산 사격 통제,distributed_fire_control,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.DistributedFireControl,외부 제어선과 전력 도관에 대한 피해로 무기가 오프라인되는 경우가 많습니다. 이 함선의 무기는 강화 분산 제어 네트워크에 연결되어 있습니다.,무기 내구도 증가 및 EMP 피해 감소.,,graphics/hullmods/distributed_fire_control2.png
Converted Cargo Bay,converted_bay,1,,,,,,,TRUE,,0,0,0,0,data.hullmods.ConvertedCargoBay,"This ship's cargo hold has been converted to house a pair of fighter bays. The improvised manufactory that produces fighter chassis is unreliable, and most components have minor defects. Fighter speed reduced by %s, and damage taken increased by %s.",Pair of improvised fighter bays.,,graphics/hullmods/converted_hangar.png
Special Modifications,andrada_mods,,,,"dmod, codex_require_related",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.AndradaMods,"During an inspection of an early prototype, the Supreme Executor was heard to comment unfavorably on exposed conduits running along the passageways, and the danger these must pose to the brave and loyal crew under combat conditions. 

The new chief designer, a loyal officer appointed by the Supreme Executor himself, instructed the forge-programmers to make accommodations for the installation of special blast-proof insulated paneling produced by Sindria itself.

If the passages are a bit narrower, conduits prone to overheating, and flush-set panels somewhat unwieldy to access, the official readiness reports include no criticism of the changes. Everyone agrees in both public and - as the Internal Security Ministry can attest - in private, that the stark grandeur of the Lion's Guard fleet is breathtaking.

Crew casualties in combat are increased by %s. The base flux dissipation rate is reduced by %s, and the repair rate for disabled weapons and engines is reduced by %s.",Reduces the ship's performance.,,graphics/hullmods/special_modifications.png
Vast Bulk,vastbulk,,,,,,,,TRUE,,0,0,0,0,data.hullmods.VastBulk,"The main body of this structure is vast and is, for practical purposes, capable of absorbing any amount of damage from conventional weapons without being destroyed.",,,graphics/hullmods/vast_bulk.png
Axial Rotation,axialrotation,,,,,,,,TRUE,,0,0,0,0,data.hullmods.AxialRotation,This structure constantly rotates around its axis.,,,graphics/hullmods/axial_rotation.png
Anchor Rotation,anchorrotation,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.AnchorRotation,This structure rotates around its anchor attachment point. For station modules only.,,,graphics/hullmods/axial_rotation.png
Reduced Explosion,reduced_explosion,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.ReducedExplosion,Reduced explosion radius and damage.,,,graphics/hullmods/reduced_explosion.png
Always Detaches,always_detaches,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.AlwaysDetaches,Always detaches from parent structure when destroyed.,,,graphics/hullmods/detach_always.png
Never Detaches,never_detaches,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.NeverDetaches,Never detaches from parent structure when destroyed.,,,graphics/hullmods/detach_never.png
No Weapon Flux,no_weapon_flux,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.NoWeaponFlux,Weapon fire costs no flux. Used on fighters for fine-grained control of effective shield hitpoints.,,,
Do Not Fire Through,do_not_fire_through,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.DoNotFireThrough,"Weapons on other modules of a station will avoid firing through this module, even though the shots would go over it and not hit.",,,
Shard Spawner,shard_spawner,,,,,,,,TRUE,TRUE,0,0,0,0,com.fs.starfarer.api.impl.hullmods.ShardSpawner,Spawns shard ships when ship is disabled/destroyed.,,,
Do Not Back Off,do_not_back_off,,,,,,,,TRUE,TRUE,0,0,0,0,com.fs.starfarer.api.impl.hullmods.DoNotBackOff,Sets DO_NOT_BACK_OFF AIFlag,,,
,,,,,,,,,,,,,,,,,,,
# threat stuff,,,,,,,,,,,,,,,,,,,
Threat Hull,threat_hullmod,,,,"codex_require_related, threat",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.combat.threat.ThreatHullmod,Hidden hullmod for managing the special properties of Threat ships. Description created in script.,,,graphics/hullmods/the_threat.png
파편 군집,fragment_swarm,,,,"codex_unlockable, fragment, no_drop_salvage","Weapons, Special",30000,,,,6,12,18,30,com.fs.starfarer.api.impl.combat.threat.FragmentSwarmHullmod,"위협 파편 군집이 함선 주위를 맴돌며 파편 기반 무기에 재생 가능한 파편을 공급합니다.

기본 파편 수는 %s/%s/%s/%s이며, 교체 파편은 주기적으로 발사됩니다.",위협 파편 군집이 함선 주위를 맴돈다.,최대 전투 준비도를 %s 감소시키고 유지비를 %s 증가.,graphics/hullmods/fragment_swarm.png
보조 제조기,secondary_fabricator,,,,"codex_unlockable, fragment, no_drop_salvage","Weapons, Special",20000,,,,3,6,9,15,com.fs.starfarer.api.impl.combat.threat.SecondaryFabricatorHullmod,교체 파편이 발사되는 속도를 %s 증가시킵니다.,파편 교체 속도 증가.,파편 교체 속도를 추가로 %s 증가.,graphics/hullmods/secondary_fabricator.png
파편 조정기,fragment_coordinator,,,,"codex_unlockable, fragment, no_drop_salvage","Weapons, Special",15000,,,,3,6,9,15,com.fs.starfarer.api.impl.combat.threat.FragmentCoordinatorHullmod,함선의 파편 군집 최대 파편 수를 %s 증가시킵니다.,함선 주위 파편 군집 크기 증가.,파편 군집 크기를 추가로 %s 증가.,graphics/hullmods/fragment_coordinator.png
,,,,,,,,,,,,,,,,,,,
# shrouded dweller stuff,,,,,,,,,,,,,,,,,,,
Dweller Hullmod,dweller_hullmod,,,,dweller,,,,TRUE,TRUE,0,0,0,0,com.fs.starfarer.api.impl.combat.dweller.DwellerHullmod,Adds Shrouded Dweller visuals and any custom mechanics. Not visible to the player.,,,
장막 외피,shrouded_mantle,,,,"codex_unlockable, shrouded, no_drop_salvage",Special,,,,,3,6,9,15,com.fs.starfarer.api.impl.combat.dweller.ShroudedMantleHullmod,"함선은 선체에 상당한 피해를 입을 경우 위험으로부터 물러나려 합니다.

전투 중 선원 사상자가 %s 증가합니다.",함선이 피해를 받으면 물러난다.,함선이 굶주리는 균열이 제공하는 치유의 %s에서 혜택을 받음.,graphics/hullmods/shrouded_mantle.png
장막 뇌운,shrouded_thunderhead,,,,"codex_unlockable, shrouded, no_drop_salvage","Weapons, Special",,,,,5,10,15,25,com.fs.starfarer.api.impl.combat.dweller.ShroudedThunderheadHullmod,<스크립트에서 생성되는 툴팁>,함선이 최근 무기 표적에게 리프트 번개를 발사한다.,,graphics/hullmods/shrouded_thunderhead.png
장막 렌즈,shrouded_lens,,,,"codex_unlockable, shrouded, no_drop_salvage",Special,,,,,3,6,9,15,com.fs.starfarer.api.impl.combat.dweller.ShroudedLensHullmod,<스크립트에서 생성되는 툴팁>,렌즈가 자동으로 인근 목표에 집중하여 범위 피해를 준다.,,graphics/hullmods/shrouded_lens.png
,,,,,,,,,,,,,,,,,,,
# ship skin buffs,,,,,,,,,,,,,,,,,,,
Fourteenth Battlegroup,fourteenth,,,,,,,,TRUE,,0,0,0,0,data.hullmods.Fourteenth,"This ship is a survivor of the original 14th Domain Battlegroup which founded the Hegemony. It is a prime specimen of the Domain Navy's ""decisive battle"" doctrine, particularly exhibited by a series of radical structural modifications (performed with pre-Collapse industrial methods) which allow the mounting of heavier armor plating by a flat increase of %s standard units, with only a %s reduction in speed and maneuverability. Exceptionally well-tuned energy systems increase flux throughput and capacity by %s over standard examples of this hull.",,,graphics/hullmods/fourteenth.png
Militarized Hegemony Auxiliary,heg_militarized,,,,hide_in_codex,,,,TRUE,,0,0,0,0,data.hullmods.Militarized,"This ship is - or was - on the Hegemony auxiliary list. Uparmour kits applied at Hegemony Naval yards resulting in no loss of performance for a %s/%s/%s/%s increase in armor strength, depending on hull size. Core power systems have been upgraded to military standards resulting in a %s improvement in overall handling, %s increase in flux capacity, a %s increase in flux dissipation, and an increase of maximum burn level by %s.",,,graphics/hullmods/militarized_hegemony_auxiliary.png
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
# permanent ship debuffs,,,,,,,,,,,,,,,,,,,
손상된 장갑,comp_armor,,,,"dmod, damage, damageStruct",,,,TRUE,,0,0,0,0,data.hullmods.CompromisedArmor,이 함선의 장갑은 과거에 심각하고 수리 불가능한 손상을 입었거나 제조 결함이 있습니다. 장갑 등급이 크게 감소합니다.,장갑 등급 및 장갑 기반 피해 감소 효과 저하.,,graphics/hullmods/compromised_armor.png
손상된 선체,comp_hull,,,,"dmod, damage, damageStruct",,,,TRUE,,0,0,0,0,data.hullmods.CompromisedHull,이 함선의 선체는 과거에 심각하고 수리 불가능한 손상을 입었거나 제조 결함이 있습니다. 선체 강도가 크게 감소합니다.,선체 강도 감소.,,graphics/hullmods/compromised_hull.png
열화 엔진,degraded_engines,,,,"dmod, damage",,,,TRUE,,0,0,0,0,data.hullmods.DegradedEngines,"전투 피해, 제조 결함, 또는 오랜 기간의 방치로 인해 이 함선의 엔진이 최적 상태에서 벗어났습니다.",최고 속도 및 가속도 감소.,,graphics/hullmods/degraded_engines.png
열화 추진 필드,degraded_drive_field,,,,"dmod, damage, civOnly",,,,TRUE,,0,0,0,0,data.hullmods.DegradedDriveField,"전투 피해, 제조 결함, 또는 오랜 기간의 방치로 인해 이 함선의 추진 필드가 저하되었습니다.",최대 번 레벨 감소.,,graphics/hullmods/degraded_drivefield.png
결함 전력망,faulty_grid,,,,"dmod, damage",,,,TRUE,,0,0,0,0,data.hullmods.FaultyPowerGrid,"전투 피해, 제조 결함, 또는 오랜 기간의 방치로 인해 이 함선의 전력망이 완전히 복구될 수 없습니다.",플럭스 용량 및 방출 감소.,,graphics/hullmods/faulty_power_grid.png
위상 코일 불안정,unstable_coils,,,,"dmod, phaseDamage",,,,TRUE,,0,0,0,0,data.hullmods.PhaseCoilInstability,이 함선의 위상 코일은 미세한 결함으로 인해 제대로 조정할 수 없습니다. 위상 시간 보너스를 %s 감소시킵니다.,위상 시간 보너스 및 위상 속도 감소.,,graphics/hullmods/phase_coil_instability.png
구조적 손상,comp_structure,,,,"dmod, damageStruct, destroyedDamageAlways",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.CompromisedStructure,이 함선의 선체는 과거에 극심한 피해를 입어 산산조각 날 뻔했습니다. 장갑 등급과 선체 강도가 크게 감소합니다.,장갑 등급 및 선체 강도 크게 감소.,,graphics/hullmods/structural_damage.png
오작동 센서 배열,glitched_sensors,,,,"dmod, damage",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.GlitchedSensorArray,이 함선의 센서 배열은 전체 선체 개조 없이는 수리할 수 없을 정도로 손상되었습니다. 전투 중 무기 사거리가 감소합니다.,전투 중 무기 사거리 감소.,,graphics/hullmods/glitched_sensor_array.png
통신 장애,malfunctioning_comms,,,,"dmod, fighterBayDamage",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.MalfunctioningComms,통신 시스템이 심각한 손상을 입어 전장 방해 전파를 뚫기가 더욱 어려워졌습니다. 전투 중 명령에 드는 비용이 증가합니다.,전투 중 명령 포인트 소모 증가.,,graphics/hullmods/malfunctioning_comms.png
결함 있는 제조기,defective_manufactory,,,,"dmod, fighterBayDamage",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.DefectiveManufactory,전투기 기체를 생산하는 제조기가 불안정하여 대부분의 부품에 경미한 결함이 있습니다. 전투기 속도가 감소합니다.,전투기 속도 및 전투 효율 감소.,,graphics/hullmods/defective_manufactory.png
손상된 비행 갑판,damaged_deck,,,,"dmod, fighterBayDamage",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.DamagedFlightDeck,이 함선의 비행 갑판은 심각한 손상을 입어 정상 운용에 크게 지장을 줍니다. 교체 전투기 출격 시간이 크게 증가합니다.,교체 전투기 출격 시간 크게 증가.,,graphics/hullmods/damaged_flight_deck.png
불안정한 보조 시스템,fragile_subsystems,,,,"dmod, damage, peak_time, notPhase",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.FragileSubsystems,광범위한 여분 부품 손실로 인해 최고 운용 시간이 %s 감소하고 전투 준비도 감소 속도가 빨라집니다.,"최고 운용 시간 감소, CR 감소 속도 증가.",,graphics/hullmods/fragile_subsystems.png
손상된 보관창고,comp_storage,,,,"dmod, damage, civOnly",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.CompromisedStorage,"이 함선의 보관 용량이 크게 저하되었습니다. 승무원, 화물, 연료 용량이 %s 감소합니다.","승무원, 화물, 연료 용량 감소.",,graphics/hullmods/compromised_storage.png
증가된 유지보수,increased_maintenance,,,,"dmod, damage, civ, notAuto",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.IncreasedMaintenance,월간 유지 물자 비용을 %s 증가시킵니다. 최소 필요 승무원을 %s 증가시킵니다. 최대 전투 준비도를 감소시킵니다.,"유지비 및 승무원 요구량 증가, 최대 전투 준비도 감소.",,graphics/hullmods/increased_maintenance.png
불규칙 연료 분사기,erratic_injector,,,,"dmod, damage, civ",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.ErraticInjector,연료 소모를 %s 증가시키고 플럭스 제로 부스트를 %s su/초 감소시킵니다.,"연료 소모 증가, 플럭스 제로 부스트 감소.",,graphics/hullmods/erratic_injector.png
결함 있는 자동화 시스템,faulty_auto,,,,"dmod, damage, notAuto",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.FaultyAutomatedSystems,최소 필요 승무원을 %s 증가시키고 최대 전투 준비도를 %s 감소시킵니다.,"최소 승무원 요구량 증가, 최대 전투 준비도 감소.",,graphics/hullmods/faulty_automated_systems.png
손상된 무기 마운트,damaged_mounts,,,,"dmod, damage",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.DamagedWeaponMounts,무기 선회 속도를 %s 감소시키고 반동을 %s 증가시킵니다.,"무기 선회 속도 감소, 반동 증가.",,graphics/hullmods/damaged_weapon_mounts.png
열화 생명유지 장치,degraded_life_support,,,,"dmod, damage, notAuto",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.DegradedLifeSupport,"최대 승무원 수용량을 %s, 최대 전투 준비도를 %s 감소시킵니다.",최대 승무원 수용량 및 전투 준비도 감소.,,graphics/hullmods/degraded_life_support.png
열화 방어막,degraded_shields,,,,"dmod, damage, reqShields",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.DegradedShields,방어막이 받는 피해를 %s 증가시킵니다.,방어막이 받는 피해 증가.,,graphics/hullmods/degraded_shields.png
,,,,,,,,,,,,,,,,,,,
파괴된 무기 마운트,destroyed_mounts,,,,dmod,,,,TRUE,,0,0,0,0,data.hullmods.DestroyedWeaponMounts,이 함선의 일부 원래 무기 마운트는 수리 불가능하게 손상되어 더 이상 사용할 수 없습니다.,일부 원래 무기 마운트 영구 사용 불가.,,graphics/hullmods/damaged_weapon_mounts.png
무모한 개조,ill_advised,,,,dmod,,,,TRUE,,0,0,0,0,data.hullmods.IllAdvised,이 선체의 시스템은 공인된 엔지니어링 감독 없이 설계에서 크게 벗어나 개조되었습니다.,함선 시스템 성능 크게 저하.,,graphics/hullmods/illadvised.png
